title,addtess,zipcode,price,bed
Evans Mill,"1356 Brace Rd, Cherry Hill, NJ 08034",08034,"$2,600 - 2,950",2 Bed
The Quin,"1400 South Ave, Plainfield, NJ 07062",07062,"$1,979 - 2,639",Studio - 2 Bed
The Atwater,"1000 W Fort Lee Rd, Bogota, NJ 07603",07603,"$1,815 - 3,780",Studio - 2 Bed
The Grande at Metro Park,"3 Ronson Rd, Iselin, NJ 08830",08830,"$1,895 - 3,995",Studio - 2 Bed
Citizen Linden,"307 W Elizabeth Ave, Linden, NJ 07036",07036,"$1,791",Studio
Xchange at Secaucus Junction,"4000 Riverside Station Blvd, Secaucus, NJ 07094",07094,"$2,250 - 3,700",1-3 Bed
The Park at Franklin,"1 John F Kennedy Blvd, Somerset, NJ 08873",08873,"$1,795 - 3,000",1-3 Bed
Park Square Apartments,"1 Park Sq, Rahway, NJ 07065",07065,"$1,949 - 2,799",1-2 Bed
The BLVD Collection,"425 Washington Blvd, Jersey City, NJ 07310",07310,"$2,580 - 6,366",Studio - 3 Bed
Hillside Village,"659 Shaler Blvd, Ridgefield, NJ 07657",07657,"$1,850 - 2,605",2 Bed
Prospect Place,"300-310 Prospect Ave, Hackensack, NJ 07601",07601,"$2,102 - 3,922",1-2 Bed
Heritage Court Apartments,"500 Silvia St, Ewing, NJ 08628",08628,"$1,485 - 2,215",1-2 Bed
202 Park,"202 Park Blvd, Cherry Hill, NJ 08002",08002,"$1,940 - 4,095",Studio - 3 Bed
Hoboken South Waterfront,"333 River St, Hoboken, NJ 07030",07030,"$3,045 - 3,105",Studio - 3 Bed
The Crossings at One,"100 Tulip Dr, Fords, NJ 08863",08863,"$1,770 - 2,350",1-2 Bed
RIVER CLUB APARTMENTS,"105 Light House Ter, Edgewater, NJ 07020",07020,"$1,849 - 3,369",1-2 Bed
Quincy Heights-Brand New!,"175 Quincy Ct, Perth Amboy, NJ 08861",08861,"$2,050 - 2,650",1-2 Bed
Plaza 53 - Brand New!!,"1122 53rd St, North Bergen, NJ 07047",07047,"$1,975 - 2,650",1-2 Bed
Quail Ridge,"2005 Quail Ridge Dr, Plainsboro, NJ 08536",08536,"$1,559 - 3,055",Studio - 2 Bed
REVA Rahway,"1245 Main St, Rahway, NJ 07065",07065,"$1,650 - 2,975",Studio - 2 Bed
Haddonview Apartments,"1 MacArthur Blvd, Haddon Township, NJ 08108",08108,"$1,165 - 2,550",Studio - 3 Bed
Jumping Brook Apartments,"3633 Highway 33, Neptune, NJ 07753",07753,"$1,725 - 2,180",1-2 Bed
Royal Crest,"1802 Kuser Rd, Hamilton, NJ 08690",08690,"$1,540 - 2,070",1-2 Bed
Stratford Apartments,"2 Arcade Ln, Old Bridge, NJ 08857",08857,"$1,510 - 1,924",1-2 Bed
Metro Rahway,"1420 Campbell St, Rahway, NJ 07065",07065,"$1,890 - 2,830",1-2 Bed
West Mill Gardens,"115 Old Short Hills Rd, West Orange, NJ 07052",07052,"$1,695 - 2,685",1-3 Bed
Pleasant View Gardens,"258 Carlton Ave, Piscataway, NJ 08854",08854,"$1,689 - 2,544",1-2 Bed
Arbol By Gomes,"254-270 Orange St, Newark, NJ 07103",07103,"$1,715 - 3,105",1-3 Bed
Keyport Village,"251 Atlantic St, Keyport, NJ 07735",07735,"$1,400 - 1,999",Studio - 2 Bed
The Harrison Somerset Apartment Homes,"575 Easton Ave, Somerset, NJ 08873",08873,"$1,490 - 2,385",Studio - 2 Bed
CMPND | MRK,"97 Newkirk St, Jersey City, NJ 07306",07306,"$1,833 - 2,784",Studio - 1 Bed
The Beacon,"20 Beacon Way, Jersey City, NJ 07304",07304,"$1,586 - 6,815",Studio - 3 Bed
The Agnes,"155 Clarke Ave, Jersey City, NJ 07304",07304,"$1,710 - 2,220",Studio - 1 Bed
The Gardens at Wesmont Station,"1 Marion Pepe Dr, Lodi, NJ 07644",07644,"$1,555 - 2,135",1-2 Bed
Burlington Pointe Apartments,"870 US 130, Burlington, NJ 08016",08016,"$1,099 - 1,489",Studio - 2 Bed
Forest Hill Apartments,"115 Davey St, Bloomfield, NJ 07003",07003,"$1,445 - 2,395",1-2 Bed
The Walcott Hackensack,"435 Main St, Hackensack, NJ 07601",07601,"$1,910 - 4,000",Studio - 2 Bed
48 1st Ave,"44-48 1st Ave, Atlantic Highlands, NJ 07716",07716,"$2,750 - 3,975",1-2 Bed
The Enclave,"675 Monmouth St, Jersey City, NJ 07310",07310,"$2,990 - 4,715",Studio - 2 Bed
Harbor 1500,"1500 Harbor Blvd, Weehawken, NJ 07086",07086,"$2,950 - 5,162",Studio - 2 Bed
Rose Hall,"10 Kings Rd, Madison, NJ 07940",07940,"$2,130 - 5,999",Studio - 3 Bed
RiverTrace at Port Imperial,"11 Ave at Port, West New York, NJ 07093",07093,"$2,601 - 5,298",Studio - 3 Bed
Brookhaven Lofts- Brand New!,"233 US Highway 206, Hillsborough, NJ 08844",08844,"$2,715 - 3,205",2 Bed
AVE Florham Park,"90 Park Ave, Florham Park, NJ 07932",07932,"$3,005 - 3,966",1-2 Bed
Cider Mill Townhomes - NEW CONSTRUCTION,"40 Old Short Hills Rd, Livingston, NJ 07039",07039,"$4,795 - 5,995",2-3 Bed
Heritage House,"21 Mount Kemble Ave, Morristown, NJ 07960",07960,"$2,195 - 2,995",1-2 Bed
The Point at Watchung,"1 Crystal Ridge Dr, Watchung, NJ 07069",07069,"$2,331 - 3,579",1-2 Bed
The One,"110 1st St, Jersey City, NJ 07302",07302,"$3,170 - 4,150",1-2 Bed
The Edge at Raritan Heights,"11 US Highway 1, New Brunswick, NJ 08901",08901,"$2,339 - 3,802",1-2 Bed
Princeton Terrace At West Windsor,"1 Raven Blvd, West Windsor, NJ 08550",08550,"$2,850 - 2,950",2 Bed
Avalon at Florham Park,"One Florence Dr, Florham Park, NJ 07932",07932,"$2,998 - 4,026",1-3 Bed
The Metropolitan at 40 Park,"40 Market St, Morristown, NJ 07960",07960,"$2,550 - 7,345",Studio - 2 Bed
The Benjamin,"1 Franklin Ave, Ridgewood, NJ 07450",07450,"$4,600",2 Bed
Two South Willow,"2 S Willow St, Montclair, NJ 07042",07042,"$2,353 - 4,365",1-2 Bed
Cast Iron Lofts,"837 Jersey Ave, Jersey City, NJ 07310",07310,"$2,801 - 6,271",Studio - 3 Bed
Liberty Towers,"33 Hudson St, Jersey City, NJ 07302",07302,"$2,647 - 5,808",Studio - 2 Bed
Chatham Hill,"25 Hickory Pl, Chatham, NJ 07928",07928,"$2,562 - 3,344",1-3 Bed
Park Bayonne,"1040 Kennedy Blvd, Bayonne, NJ 07002",07002,"$1,910 - 4,010",Studio - 3 Bed
Estuary,"1600 Harbor Blvd, Weehawken, NJ 07086",07086,"$2,634 - 5,621",Studio - 3 Bed
Soho Lofts,"273 16th St, Jersey City, NJ 07310",07310,"$2,905 - 6,350",Studio - 5 Bed
The James,"87 Madison Ave, Park Ridge, NJ 07656",07656,Call for Rent,Studio - 2 Bed
Parkvue At Livingston,"211 Eisenhower Pky, Livingston, NJ 07039",07039,"$2,545 - 4,793",1-2 Bed
RiverHouse 11 at Port Imperial,"900 Ave At Port Imperial Blvd, Weehawken, NJ 07086",07086,"$2,530 - 4,180",Studio - 3 Bed
7 Seventy House,"770 Jackson St, Hoboken, NJ 07030",07030,"$3,490 - 13,535",Studio - 3 Bed
EDGE Apartments,"170 Avenue F, Bayonne, NJ 07002",07002,"$1,999 - 4,325",Studio - 2 Bed
AVE Union,"1070 Morris Ave, Union, NJ 07083",07083,"$2,999 - 3,592",1-2 Bed
Summit Hill,"100 Stone Hill Rd, Springfield, NJ 07081",07081,"$2,280 - 3,050",1-3 Bed
Cherry Hill Towers Apartment Homes,"2145 Route 38 E, Cherry Hill, NJ 08002",08002,"$1,715 - 3,375",1-2 Bed
Cedar Manor,"1800 Fir Ct, Somerset, NJ 08873",08873,"$2,945 - 3,895",2-3 Bed
Heather Ridge Apartments,"454 Heather Dr N, Mantua, NJ 08051",08051,"$1,704 - 2,586",1-2 Bed
Crown Court,"1 Monarch Cir, Basking Ridge, NJ 07920",07920,"$2,105 - 4,075",1-2 Bed
The Crossings at Plainsboro,"60 Fox Run Dr, Plainsboro, NJ 08536",08536,"$1,845 - 2,445",1-2 Bed
Cobalt Lofts,"1200 S 5th St, Harrison, NJ 07029",07029,"$1,817 - 4,162",Studio - 2 Bed
RiverParc at Port Imperial,"1300 Avenue at Port, Weehawken, NJ 07086",07086,"$2,434 - 24,304",Studio - 3 Bed
Hutton Lafayette at West Orange,"160 Randolph Pl, West Orange, NJ 07052",07052,"$1,945 - 2,755",1-2 Bed
Plaza Square Apartment Homes,"1 Richmond St, New Brunswick, NJ 08901",08901,"$2,182 - 4,129",1-3 Bed
AVE Somerset,"199 Pierce St, Somerset, NJ 08873",08873,"$2,750",1-2 Bed
Avalon Piscataway,"7000 Avalon Way, Piscataway, NJ 08854",08854,"$2,300 - 4,235",Studio - 3 Bed
351 Marin LLC,"351 Marin Blvd, Jersey City, NJ 07302",07302,"$2,545 - 5,695",Studio - 2 Bed
Bellclair At Montclair,"691 Bloomfield Ave, Montclair, NJ 07042",07042,"$2,325",1 Bed
18 Park,"199 Marin Blvd, Jersey City, NJ 07302",07302,"$2,567 - 4,810",Studio - 2 Bed
Vermella Crossing Properties,"302 Bergen Ave, Kearny, NJ 07032",07032,"$2,075 - 3,190",Studio - 2 Bed
Hudson Mews,"1305 Paterson Plank Rd, North Bergen, NJ 07047",07047,"$1,987 - 3,869",Studio - 2 Bed
Fair Lawn Promenade,"5 Promenade Blvd, Fair Lawn, NJ 07410",07410,"$2,445 - 4,270",1-3 Bed
3 Journal Square,"2935 John F Kennedy Blvd, Jersey City, NJ 07306",07306,"$2,203 - 4,961",Studio - 3 Bed
Park Lane at Garden State Park,"1 Park Lane Blvd, Cherry Hill, NJ 08002",08002,"$1,882 - 5,148",1-2 Bed
19 East,"19 E 19th St, Bayonne, NJ 07002",07002,"$1,751 - 3,026",Studio - 2 Bed
225 Grand,"225 Grand St, Jersey City, NJ 07302",07302,"$2,706 - 4,525",Studio - 2 Bed
Towne Centre at Englewood,"20 W Palisade Ave, Englewood, NJ 07631",07631,"$2,380 - 3,850",1-3 Bed
Avalon Princeton Junction,"1000 Jamie Brooks Ln, West Windsor, NJ 08550",08550,"$1,805 - 3,080",1-3 Bed
The Monarch,"100-120 Schindler Ct, East Rutherford, NJ 07073",07073,"$2,210 - 5,205",1-2 Bed
Jefferson Mount Laurel,"12000 Knox Way, Mount Laurel, NJ 08054",08054,"$1,865 - 2,745",1-2 Bed
Vermella West,"135 Passaic Ave, Kearny, NJ 07032",07032,"$1,740 - 3,725",Studio - 2 Bed
Mosaic on Main,"7-15 W Main St, Bound Brook, NJ 08805",08805,"$1,875 - 2,425",1-2 Bed
Station House,"44 Veterans Memorial Dr E, Somerville, NJ 08876",08876,"$2,300 - 3,900",1-2 Bed
235 Grand,"235 Grand St, Jersey City, NJ 07302",07302,"$2,423 - 6,215",Studio - 2 Bed
Dwell Cherry Hill,"1982 Route 70 East, Cherry Hill, NJ 08003",08003,"$1,895 - 3,150",1-2 Bed
Grove Pointe Rentals,"100 Christopher Columbus Dr, Jersey City, NJ 07302",07302,"$2,884 - 3,568",Studio - 2 Bed
The Duchess,"7601 River Rd, North Bergen, NJ 07047",07047,"$2,495 - 5,935",Studio - 3 Bed
The Aspire,"135 Somerset St, New Brunswick, NJ 08901",08901,"$1,975 - 3,250",Studio - 2 Bed
Verona Place,"435-449 Bloomfield Ave, Verona, NJ 07044",07044,"$2,450 - 3,275",1-2 Bed
AVE Clifton,"743 Passaic Ave, Clifton, NJ 07012",07012,"$2,614 - 3,487",1-2 Bed
Vermella Harrison,"1110 Frank E Rodgers Blvd S, Harrison, NJ 07029",07029,"$2,380 - 3,960",Studio - 2 Bed
The Quincy,"120 Neilson St, New Brunswick, NJ 08901",08901,"$2,196 - 4,009",Studio - 2 Bed
The Grove Somerset,"500 Bristol Blvd, Somerset, NJ 08873",08873,"$1,800 - 5,635",Studio - 3 Bed
Orchard Court Apartments,"1000 Carroll Ave, Pennsville, NJ 08070",08070,"$1,475 - 1,785",Studio - 2 Bed
Avalon Cove,"444 Washington Blvd, Jersey City, NJ 07310",07310,"$2,780 - 5,386",Studio - 4 Bed
70 Greene,"70 Greene St, Jersey City, NJ 07302",07302,"$2,628 - 6,619",Studio - 3 Bed
Sawyer,"39 New York Ave, Jersey City, NJ 07307",07307,"$2,480 - 3,865",Studio - 2 Bed
50 Rector Park: Brand New Waterfront Rentals,"50 Rector St, Newark, NJ 07102",07102,"$1,895 - 2,975",Studio - 2 Bed
Harrison Yards,"700 Frank E Rodgers Blvd S, Harrison, NJ 07029",07029,Call for Rent,Studio - 2 Bed
One William,"1 William St, Englewood, NJ 07631",07631,"$2,041 - 3,765",1-2 Bed
295J,"295 Johnston Ave, Jersey City, NJ 07304",07304,"$1,995 - 3,975",Studio - 3 Bed
Vermella East,"60 Passaic Ave, Kearny, NJ 07032",07032,"$1,925 - 3,275",Studio - 2 Bed
eaves Lawrenceville,"1000 N Town Ct, Trenton, NJ 08648",08648,"$1,898 - 2,990",1-3 Bed
The Pierre Apartments,"185 Prospect Ave, Hackensack, NJ 07601",07601,"$1,695 - 2,595",Studio - 1 Bed
Merriewold,"433 River Rd, Highland Park, NJ 08904",08904,"$2,000 - 5,100",1-3 Bed
The Atrium @ Anderson Station,"29 Linden St, Hackensack, NJ 07601",07601,"$2,095 - 2,595",1-2 Bed
Jackson House Apartments,"515 Main St, Chatham, NJ 07928",07928,"$1,880 - 2,095",1-2 Bed
Waldwick Station,"41 W Prospect St, Waldwick, NJ 07463",07463,"$2,395",Studio - 2 Bed
Premiere Residences,"7 Livingston Ave, New Brunswick, NJ 08901",08901,"$2,053 - 2,590",Studio - 2 Bed
The Upton Short Hills,"1 Fineran Way, Short Hills, NJ 07078",07078,Call for Rent,1-2 Bed
EVO Apartments,"40 Bennett Rd, Englewood, NJ 07631",07631,"$2,100 - 3,725",Studio - 2 Bed
210 Main Street,"210 Main St, Hackensack, NJ 07601",07601,"$1,800 - 4,320",Studio - 2 Bed
The Oyster,"15 Somerset Ln, Edgewater, NJ 07020",07020,"$2,200 - 5,200",Studio - 2 Bed
Hudson Lights,"2030 Hudson St, Fort Lee, NJ 07024",07024,"$2,564 - 4,906",1-3 Bed
Harrison Station 330,"330 Angelo Cifelli Dr, Harrison, NJ 07029",07029,"$1,735 - 2,270",Studio - 2 Bed
Vivian,"75 Sterling Blvd, Englewood, NJ 07631",07631,"$2,370 - 2,475",1-2 Bed
Molly Brook on Belmont,"920 Belmont Ave, North Haledon, NJ 07508",07508,"$2,209 - 3,017",1-2 Bed
Somerville Parc,"200 Parcview Pl, Somerville, NJ 08876",08876,"$2,200 - 2,900",1-2 Bed
Excelsior II,"170 Prospect Ave, Hackensack, NJ 07601",07601,"$2,150 - 3,000",1-2 Bed
The Park,"417 Raritan Rd, Roselle, NJ 07203",07203,"$2,337 - 2,338",1-2 Bed
485 Marin,"485 Marin Blvd, Jersey City, NJ 07302",07302,"$2,540 - 6,119",Studio - 3 Bed
The Brownstones at Englewood South,"73 Brownstone Way, Englewood, NJ 07631",07631,"$1,985 - 3,162",Studio - 2 Bed
Morris-Hill Apartments,"34 Hill St, Morristown, NJ 07960",07960,"$1,950 - 2,400",1-2 Bed
The Mercer at Lawrence Station,"100 Avalon Bay Dr, Lawrenceville, NJ 08648",08648,"$1,921 - 3,135",1-3 Bed
"Englewood Village, LLC","240 E Palisade Ave SE, Englewood, NJ 07631",07631,"$1,965 - 3,435",1-3 Bed
Everly Roseland,"28 Nob Hill Rd, Roseland, NJ 07068",07068,"$2,300 - 3,400",1-3 Bed
Eleven80,"1180 Raymond Blvd, Newark, NJ 07102",07102,"$1,820 - 4,705",Studio - 2 Bed
Avalon at Wesmont Station,"100 Rosie Sq, Wood Ridge, NJ 07075",07075,"$1,885 - 3,385",Studio - 3 Bed
The Morgan at Provost Square,"332 Marin Blvd, Jersey City, NJ 07302",07302,"$2,204 - 5,300",Studio - 3 Bed
Ambassador Towers,"44 S Munn Ave, East Orange, NJ 07018",07018,"$1,579",1 Bed
Mountain View Crossing,"650 ROUTE 23, WAYNE, NJ 07470",07470,"$2,251 - 3,133",1-2 Bed
The View At Edgewater Harbor,"45 River Rd, Edgewater, NJ 07020",07020,"$1,900 - 4,000",Studio - 2 Bed
Bay 151,"151 Centre St, Bayonne, NJ 07002",07002,"$1,975",Studio - 3 Bed
The Harper At Harmon Meadow,"100 Park Plaza Dr, Secaucus, NJ 07094",07094,"$1,818 - 4,945",Studio - 2 Bed
The Winston at Lyndhurst,"120 Chubb Ave, Lyndhurst, NJ 07071",07071,"$2,172 - 2,750",1-2 Bed
The Neil,"503 Fellowship Rd, Mount Laurel, NJ 08054",08054,"$1,725 - 2,520",1-2 Bed
The Lena,"100 River Park Dr, Raritan, NJ 08869",08869,"$2,166 - 3,001",1-2 Bed
Constantine Village,"26 Constantine Pl, Summit, NJ 07901",07901,"$2,090 - 2,815",2 Bed
The Mark Parsippany,"1715 US Highway 46, Parsippany, NJ 07054",07054,"$1,860 - 5,215",Studio - 2 Bed
The Montclair Gardens,"39-41 N Fullerton Ave, Montclair, NJ 07042",07042,"$1,700 - 2,250",Studio - 1 Bed
VYV,"474 Warren St, Jersey City, NJ 07302",07302,"$2,594 - 9,212",Studio - 2 Bed
Portside Towers,"155 Washington St, Jersey City, NJ 07302",07302,"$2,351 - 8,346",Studio - 3 Bed
One Harrison,"1 Harrison Ave, Harrison, NJ 07029",07029,"$2,030 - 4,615",Studio - 2 Bed
The Ivanhoe,"130 Overlook Ave, Hackensack, NJ 07601",07601,"$1,745 - 4,610",Studio - 3 Bed
140 Prospect,"140 Prospect Ave, Hackensack, NJ 07601",07601,"$1,715 - 4,525",Studio - 3 Bed
Chatham on Main,"500-555 Main St, Chatham, NJ 07928",07928,"$2,550 - 2,575",1-2 Bed
Parkway Lofts,"5 Lawrence St, Bloomfield, NJ 07003",07003,"$1,745 - 2,980",Studio - 2 Bed
480 Flatz,"480 Paterson Ave, East Rutherford, NJ 07073",07073,"$2,100 - 2,750",1-2 Bed
The Grand Cherry Hill,"1910-1920 Frontage Rd, Cherry Hill, NJ 08034",08034,"$1,392 - 4,236",Studio - 3 Bed
Riverwalk,"400 Riverfront Blvd, Elmwood Park, NJ 07407",07407,"$2,575 - 3,300",1-2 Bed
The Davenport,"21 Davenport St, Somerville, NJ 08876",08876,"$1,950 - 3,540",1-2 Bed
B22,"477 Broadway, Bayonne, NJ 07002",07002,"$1,997 - 2,866",1-2 Bed
The Lexington,"619 Adams St, Hoboken, NJ 07030",07030,"$2,595 - 4,250",1-2 Bed
Park Crossing,"2000 Maplewood Dr, Maple Shade, NJ 08052",08052,"$1,985",2 Bed
The Station at Lyndhurst,"240 Chubb Ave, Lyndhurst, NJ 07071",07071,"$1,995 - 2,230",1 Bed
Rutherford Heights,"666 Paterson Ave, East Rutherford, NJ 07073",07073,"$1,650 - 2,025",1-2 Bed
Deer Creek,"305 Deer Creek Dr, Plainsboro, NJ 08536",08536,"$1,650 - 2,225",1-2 Bed
Vermella Union List,"2 Vermella Way, Union, NJ 07083",07083,"$1,850 - 3,995",Studio - 3 Bed
Westgate Gardens,"350 Parsippany Rd, Parsippany, NJ 07054",07054,"$1,645 - 2,205",1-2 Bed
Spring Brook At Chatham,"540-575 Main St, Chatham, NJ 07928",07928,"$2,225 - 3,000",1-3 Bed
The Crossings at Hamilton Station,"900 Grand Central Dr, Hamilton, NJ 08619",08619,"$1,856 - 3,776",1-3 Bed
Franklin Hill Apartments,"44 Hill St, Morristown, NJ 07960",07960,"$1,950 - 2,700",1-2 Bed
Addison at Princeton Meadows,"2821 Pheasant Hollow Dr, Plainsboro, NJ 08536",08536,"$2,005 - 2,570",1-2 Bed
Orchard Gardens,"260 S 11th Ave, Highland Park, NJ 08904",08904,"$1,635 - 2,133",1-2 Bed
Carlton Apartments,"125 W Farrell Ave, Ewing, NJ 08618",08618,"$1,450 - 1,885",1-2 Bed
Summerfields Lofts,"100 Rutgers Blvd, Somerset, NJ 08873",08873,"$2,055 - 3,995",1-3 Bed
Harbor Pointe,"302 Constitution Ave, Bayonne, NJ 07002",07002,"$1,518 - 3,744",Studio - 3 Bed
Vroom Place,"28 Vroom St, Jersey City, NJ 07306",07306,"$1,750 - 2,600",Studio - 1 Bed
Avenue & Green,"10 Green St, Woodbridge, NJ 07095",07095,"$1,846 - 2,792",Studio - 2 Bed
Meridia Lifestyles Phase II,"100 S Wood Ave, Linden, NJ 07036",07036,"$1,895 - 2,595",1-2 Bed
Skyview Apartments at Carriage City Plaza,"80 E Milton Ave, Rahway, NJ 07065",07065,"$1,700 - 2,000",1-2 Bed
The Villas,"200 Springfield Ave, Springfield, NJ 07081",07081,"$1,940 - 2,675",1-2 Bed
Grand Meridia,"255 E Grand Ave, Rahway, NJ 07065",07065,"$1,765 - 1,885",1-2 Bed
Bay Grove Arms,"225 Bay St, Jersey City, NJ 07302",07302,"$2,450 - 3,700",1-2 Bed
Gateway at Park Ave,"1700 Park Ave, Weehawken, NJ 07086",07086,"$3,700 - 3,800",2 Bed
70 Columbus,"70 Christopher Columbus Dr, Jersey City, NJ 07302",07302,"$2,210 - 4,545",Studio - 2 Bed
Morris Crossing Townhouses,"18-23 Max Dr, Morristown, NJ 07960",07960,"$1,850 - 2,600",Studio - 2 Bed
The Arbors At Franklin Township,"265 Franklin Blvd, Somerset, NJ 08873",08873,"$1,925 - 2,275",2-3 Bed
Arrive Fort Lee,"900 Crest Ln, Fort Lee, NJ 07024",07024,"$2,280 - 4,700",1-3 Bed
BELA,"74 Maple St, Jersey City, NJ 07304",07304,"$1,996 - 3,857",1-2 Bed
The Forge at Glassworks,"118 Glassworks Blvd, Cliffwood, NJ 07721",07721,"$1,902 - 2,718",1-3 Bed
The Crossings at Edison,"253 Lafayette Rd, Edison, NJ 08837",08837,"$1,750 - 2,300",1-2 Bed
Waterside Village,"542 S Broadway, Pennsville, NJ 08070",08070,"$1,100 - 1,495",1-2 Bed
Sagemore,"1109 Sagemore Dr, Marlton, NJ 08053",08053,"$1,780 - 2,225",1-2 Bed
Premier Properties of New Brunswick,"205 Easton Ave, New Brunswick, NJ 08901",08901,"$1,785 - 3,260",2 Bed
Ridgefield Gardens,"930 Banta Pl, Ridgefield, NJ 07657",07657,"$1,600 - 2,650",1-2 Bed
Camelot at LaMer,"20 Pointe of Woods Dr N, Parlin, NJ 08859",08859,"$1,655 - 3,000",1-2 Bed
Windsor Woods,"465 Meadow Rd, Princeton, NJ 08540",08540,"$1,805 - 3,014",1-3 Bed
Atlantic Pointe Apartments,"165 Thousand Oaks Dr, Atlantic Highlands, NJ 07716",07716,"$1,851 - 2,621",1-3 Bed
Boulevard East - BRAND NEW !!,"355 Edgerton Blvd, Avenel, NJ 07001",07001,"$2,350",2 Bed
The Crest at Princeton Meadows,"3217 Ravenscrest Dr, Plainsboro, NJ 08536",08536,"$1,640 - 2,355",1-2 Bed
Station Place,"400 E Oak Ave, Lawnside, NJ 08045",08045,"$1,695 - 2,250",1-2 Bed
Metropark Station Apartments,"20 Gill Ln, Iselin, NJ 08830",08830,"$1,695 - 2,250",1-2 Bed
Main Road Apartments,"37 Main Rd, Hammonton, NJ 08037",08037,Call for Rent,2 Bed
The Metro,"470 Main St, Fort Lee, NJ 07024",07024,"$2,700 - 3,995",1-2 Bed
Summit Court Luxury Apartments,"1776 Patriot Way, Union, NJ 07083",07083,"$2,070 - 2,665",1-2 Bed
Union Mill Run,"1762 Walker Ave, Union, NJ 07083",07083,"$1,720 - 2,270",1-2 Bed
citivillage @ St Georges,"1120-1140 E Saint Georges Ave, Linden, NJ 07036",07036,"$1,725 - 2,495",1-2 Bed
Southside Lofts at Town Center,"1 Liberty St, Robbinsville, NJ 08691",08691,"$1,725 - 2,425",1-2 Bed
Gateways at Randolph,"44 Center Grove Rd, Randolph, NJ 07869",07869,"$1,460 - 1,860",1 Bed
Cambridge Manor Apartments,"45 Cambridge Ter, Hackensack, NJ 07601",07601,"$2,350",2 Bed
